id,name,description,type,is_collection,property_count,method_count,hierarchy,role
interface_847,SchZoneMembership,Manage zone memberships.,Object,false,0,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SchZoneMembership\",Unknown
interface_848,SchematicExtension,Manage schematic extensions.,Object,false,0,2,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SchematicExtension\",Unknown
interface_849,SchematicRoot,Represents the top node of the schematic object tree.,Object,false,0,15,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SchematicRoot\",Unknown
interface_850,SearchSettingAtt,Represents the setting controller for the Search property tab page.,Object,false,6,12,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \SearchSettingAtt\",The setting controller is the object that enables to get and set setting parameters.
interface_851,Section,Represents the Section object.,Collection,true,9,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \HybridShape\, \Section\",Unknown
interface_852,SectioningSettingAtt,The interface to access a CATIASectioningSettingAtt.,Object,false,15,20,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \SectioningSettingAtt\",Unknown
interface_853,Sections,A collection of all Section objects currently managed by the application.,Collection,true,0,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \Sections\",Unknown
interface_854,SelectedElement,Represents an element contained by a Selection object.,Object,false,5,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SelectedElement\",Unknown
interface_855,Selection,Represents the selection. Note.,Object,false,3,19,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Selection\",Unknown
interface_856,SelectionSets,Interface to manage the Selection Sets in a document.,Object,true,0,6,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SelectionSets\",Unknown
interface_857,SendToService,This interface allows to use 'Send To' functionalities through an API.,Object,false,0,11,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SendToService\",Unknown
interface_858,ServerStatisticsSettingAtt,Interface for Server statistic ControlerRole: the server statistics controler manages the values of all or only a part of the attributes available for the thematic.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \GeneralStatisticsSettingAtt\, \ServerStatisticsSettingAtt\",Unknown
interface_859,SessionStatisticsSettingAtt,Interface for Session statistic ControlerRole: the session statistics controler manages the values of all or only a part of the attributes available for the thematic.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \GeneralStatisticsSettingAtt\, \SessionStatisticsSettingAtt\",Unknown
interface_860,SetOfEquation,Represents the set of equations object.,Object,false,0,10,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \KnowledgeObject\, \KnowledgeActivateObject\, \Relation\, \SetOfEquation\",Unknown
interface_861,SettingController,Represents the base object for setting controllers.,Object,false,0,5,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\","A setting controller manages all or only a part of the parameters available in a property page of the dialog displayed using the Options command of the Tools menu. Each setting parameter may be represented by one or several setting attribute in the underlying setting repository. All setting controllers share the five methods of the SettingController object to deal with the whole set, or a subset of the setting attributes: Commit to make a memory copy of the setting attribute values Rollback to restore the last memory copy of the setting attribute values ResetToAdminValues to restore the administered values of all the attributes ResetToAdminValuesByName to restore the administered values of a subset of the attributes SaveRepository to make a persistent copy of the setting attribute values on file. In addition, each setting controller exposes four methods per setting parameter: two methods to access the setting attribute values, that usually make up a read/write property if the setting parameter is represented by a single setting attribute, a method to manage the setting parameter lock, and a method to retrieve the state of the setting parameter. The first two methods are parameter-specific and are fully described in the setting controller object that managing the setting parameter. The last two methods have always the same signature and the same behavior whatever the setting parameter. They are described below. PARAMETER is used in place of the actual setting parameter name. Managing the Setting Parameter Lock HRESULT SetPARAMETERLock(in boolean iLocked); Locks or unlocks the PARAMETER setting parameter. Role : Locking a setting parameter prevents the end user, or the administrators below the current one, from changing the setting parameter value. Locking or unlocking the PARAMETER setting p..."
interface_862,SettingControllers,A collection of all the setting controllers objects currently managed by the application.,Collection,true,0,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \SettingControllers\",Unknown
interface_863,SewSurface,Represents the sewing operation.,Object,false,2,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SurfaceBasedShape\, \SewSurface\",Unknown
interface_864,Shaft,Represents the shaft shape.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SketchBasedShape\, \Revolution\, \Shaft\",Unknown
interface_865,Shape,Represents the Shape object.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Factory\, \Shape\",Unknown
interface_866,ShapeFactory,Represents the factory for shapes to create all kinds of shapes that may be needed for part design. body shape body shape.,Object,false,0,20,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Factory\, \ShapeFactory\",Unknown
